city,temp,humidity,pressure
London,278.33,93,1026
Tallahassee,289.03,91,1025
Tallahassee,287.57,96,1024
Tallahassee,287.57,96,1024
Tallahassee,287.57,96,1024
Tallahassee,287.35,96,1024
Tallahassee,288.04,93,1025
Tallahassee,288.04,93,1025
Tallahassee,288.04,93,1025
Tallahassee,288.04,93,1025
Tallahassee,288.04,93,1025
Tallahassee,291.45,86,1023
Tallahassee,290.89,89,1023
Tallahassee,291.25,90,1022Tallahassee,289.8,94,1021Tallahassee,289.8,94,1021Tallahassee,289.8,94,1021Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,290.06,96,1021
Tallahassee,289.76,95,1021
Tallahassee,289.76,95,1021
Tallahassee,289.76,95,1021
Tallahassee,289.76,95,1021
